date,Voltage(V),Current(A),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s)
06-01-2018 21:24:27.199,3.541243553,0,0,0,0,0,6.58035E-05
06-01-2018 21:26:27.199,3.543649673,0,0,0,0,0,-1.62125E-05
06-01-2018 21:28:27.200,3.54572773,0,0,0,0,0,-1.90735E-05
06-01-2018 21:30:27.197,3.547779083,0,0,0,0,0,-5.05447E-05
06-01-2018 21:32:27.199,3.549761772,0,0,0,0,0,3.14713E-05
06-01-2018 21:34:27.201,3.55148983,0,0,0,0,0,4.76837E-06
06-01-2018 21:36:27.196,3.552111626,0,0,0,0,0,-5.91278E-05
06-01-2018 21:38:27.198,3.552063942,0,0,0,0,0,2.67029E-05
06-01-2018 21:40:27.202,3.551745415,0,0,0,0,0,-7.62939E-05
06-01-2018 21:42:27.200,3.551440239,0,0,0,0,0,1.04904E-05
06-01-2018 21:44:27.198,3.551249504,0,0,0,0,0,1.43051E-05
06-01-2018 21:46:27.201,3.550984383,0,0,0,0,0,6.67572E-05
06-01-2018 21:48:27.198,3.550845146,0,0,0,0,0,-1.04904E-05
06-01-2018 21:50:27.199,3.550922394,0,0,0,0,0,-5.24521E-05
06-01-2018 21:52:27.197,3.551046371,0,0,0,0,0,2.95639E-05
06-01-2018 21:54:27.199,3.551060677,0,0,0,0,0,-9.91821E-05
06-01-2018 21:56:27.197,3.551119804,0,0,0,0,0,3.43323E-05
06-01-2018 21:58:27.197,3.551175117,0,0,0,0,0,3.8147E-05
06-01-2018 22:00:27.197,3.551255226,0,0,0,0,0,2.00272E-05
06-01-2018 22:02:27.196,3.551253319,0,0,0,0,0,-9.53674E-07
06-01-2018 22:04:27.201,3.55136776,0,0,0,0,0,9.53674E-06
06-01-2018 22:06:27.199,3.551393509,0,0,0,0,0,-3.52859E-05
06-01-2018 22:08:27.196,3.551466942,0,0,0,0,0,2.28882E-05
06-01-2018 22:10:27.198,3.551404953,0,0,0,0,0,-8.29697E-05
06-01-2018 22:12:27.201,3.551589012,0,0,0,0,0,6.67572E-06
06-01-2018 22:14:27.197,3.551541328,0,0,0,0,0,0
06-01-2018 22:16:27.200,3.551729202,0,0,0,0,0,6.77109E-05
06-01-2018 22:18:27.199,3.551749229,0,0,0,0,0,-6.77109E-05
06-01-2018 22:20:27.198,3.551774025,0,0,0,0,0,-3.14713E-05
06-01-2018 22:22:27.201,3.55177784,0,0,0,0,0,2.67029E-05
06-01-2018 22:24:27.198,3.551856995,0,0,0,0,0,-1.62125E-05
06-01-2018 22:26:27.197,3.551939964,0,0,0,0,0,-3.05176E-05
06-01-2018 22:28:27.197,3.551949501,0,0,0,0,0,5.34058E-05
06-01-2018 22:30:27.200,3.55200386,0,0,0,0,0,-2.57492E-05
06-01-2018 22:32:27.199,3.552065849,0,0,0,0,0,8.58307E-06
06-01-2018 22:34:27.201,3.552105904,0,0,0,0,0,4.76837E-06
06-01-2018 22:36:27.197,3.552153587,0,0,0,0,0,5.72205E-05
06-01-2018 22:38:27.202,3.552135468,0,0,0,0,0,-6.96182E-05
06-01-2018 22:40:27.197,3.552221298,0,0,0,0,0,-0.000104904
06-01-2018 22:42:27.197,3.552349091,0,0,0,0,0,7.62939E-06
06-01-2018 22:44:27.202,3.552358627,0,0,0,0,0,1.14441E-05
06-01-2018 22:46:27.198,3.552370071,0,0,0,0,0,2.76566E-05
06-01-2018 22:48:27.196,3.552472115,0,0,0,0,0,-3.62396E-05
06-01-2018 22:50:27.196,3.552502632,0,0,0,0,0,2.47955E-05
06-01-2018 22:52:27.201,3.552464485,0,0,0,0,0,-6.67572E-06
06-01-2018 22:54:27.202,3.552559853,0,0,0,0,0,3.71933E-05
06-01-2018 22:56:27.200,3.552692413,0,0,0,0,0,8.10623E-05
06-01-2018 22:58:27.200,3.552569389,0,0,0,0,0,-6.96182E-05
06-01-2018 23:00:27.197,3.552746773,0,0,0,0,0,4.1008E-05
06-01-2018 23:02:27.198,3.552736282,0,0,0,0,0,7.62939E-05
06-01-2018 23:04:27.199,3.552859306,0,0,0,0,0,6.96182E-05
06-01-2018 23:06:27.200,3.552838326,0,0,0,0,0,2.95639E-05
06-01-2018 23:08:27.202,3.552951813,0,0,0,0,0,-3.52859E-05
06-01-2018 23:10:27.202,3.552958488,0,0,0,0,0,8.58307E-05
06-01-2018 23:12:27.198,3.552967072,0,0,0,0,0,3.8147E-05
06-01-2018 23:14:27.199,3.553004265,0,0,0,0,0,-3.62396E-05
06-01-2018 23:16:27.200,3.553052902,0,0,0,0,0,9.53674E-07
06-01-2018 23:18:27.200,3.553115845,0,0,0,0,0,0
06-01-2018 23:20:27.196,3.553193092,0,0,0,0,0,2.09808E-05
06-01-2018 23:22:27.198,3.553226471,0,0,0,0,0,5.62585E-05
06-01-2018 23:23:25.627,4.200013161,3.259864807,0.067195535,0,0.280705571,0,7.34353E-05
06-01-2018 23:25:25.649,4.248420715,3.260084152,0.175626144,0,0.740043402,0,0.000108719
06-01-2018 23:27:25.647,4.270718575,3.260084152,0.284293622,0,1.202787161,0,0.00023365
06-01-2018 23:29:25.649,4.299371719,3.260135651,0.392973185,0,1.668473482,0,0.000285149
06-01-2018 23:31:25.645,4.325328827,3.260095596,0.501639724,0,2.137121677,0,0.000164032
06-01-2018 23:33:25.649,4.347447395,3.260093689,0.610302031,0,2.608326674,0,0.000148773
06-01-2018 23:35:25.645,4.369775772,3.260084152,0.718965769,0,3.081915855,0,0.000226021
06-01-2018 23:37:25.647,4.393230438,3.260065079,0.82765007,0,3.558071136,0,0.000201225
06-01-2018 23:39:25.649,4.399942398,3.094232559,0.934248447,0,4.027001381,0,-4.3869E-05
06-01-2018 23:41:25.646,4.400045395,2.890033722,1.033972859,0,4.465789318,0,-5.05447E-05
06-01-2018 23:43:25.647,4.399996758,2.700691223,1.127120137,0,4.875637531,0,5.14984E-05
06-01-2018 23:45:25.646,4.399974823,2.533172607,1.214325786,0,5.25934267,0,7.62939E-06
06-01-2018 23:47:25.646,4.400044441,2.385023117,1.296247005,0,5.619796276,0,-3.05176E-05
06-01-2018 23:49:25.647,4.400025368,2.252790451,1.373484254,0,5.959640503,0,6.67572E-06
06-01-2018 23:51:25.646,4.399953842,2.138341904,1.446634293,0,6.281500816,0,5.53131E-05
06-01-2018 23:53:25.648,4.399912834,2.03386879,1.516148925,0,6.587365627,0,2.47955E-05
06-01-2018 23:55:25.648,4.400037766,1.94213295,1.582409739,0,6.878913403,0,3.05176E-05
06-01-2018 23:57:25.648,4.400022507,1.854129791,1.645674467,0,7.157278061,0,-1.62125E-05
06-01-2018 23:59:25.646,4.399992943,1.773448944,1.706110239,0,7.423195362,0,6.86646E-05
06-02-2018 00:01:25.649,4.400007248,1.700666428,1.763990998,0,7.67787075,0,4.29153E-05
06-02-2018 00:03:25.645,4.400003433,1.632893562,1.819515109,0,7.922176838,0,-7.72476E-05
06-02-2018 00:05:25.647,4.400033951,1.566104889,1.872839808,0,8.156805992,0,2.86102E-05
06-02-2018 00:07:25.646,4.400014877,1.502608299,1.92395854,0,8.381728172,0,1.04904E-05
06-02-2018 00:09:25.650,4.400022507,1.44169426,1.973030925,0,8.597646713,0,-1.04904E-05
06-02-2018 00:11:25.647,4.399990082,1.383896828,2.020129681,0,8.804881096,0,-1.71661E-05
06-02-2018 00:13:25.646,4.399987221,1.326732635,2.065298557,0,9.003623962,0,2.38419E-05
06-02-2018 00:15:25.650,4.399932861,1.270934105,2.108579874,0,9.194061279,0,8.58307E-06
06-02-2018 00:17:25.650,4.400026321,1.21722126,2.150033474,0,9.376458168,0,5.62668E-05
06-02-2018 00:19:25.647,4.399983406,1.164300919,2.189721346,0,9.551084518,0,-4.3869E-05
06-02-2018 00:21:25.645,4.399943352,1.112779617,2.227673769,0,9.718074799,0,3.91006E-05
06-02-2018 00:23:25.648,4.399972916,1.063937187,2.263954878,0,9.87771225,0,1.23978E-05
06-02-2018 00:25:25.644,4.399971008,1.014539719,2.298587561,0,10.03009605,0,8.58307E-06
06-02-2018 00:27:25.649,4.399929047,0.968296051,2.331634283,0,10.17550087,0,4.95911E-05
06-02-2018 00:29:25.649,4.399975777,0.923092842,2.363147259,0,10.31415844,0,-1.90735E-05
06-02-2018 00:31:25.647,4.400024414,0.87832737,2.393167257,0,10.4462471,0,-1.90735E-05
06-02-2018 00:33:25.644,4.400001526,0.835906982,2.421732903,0,10.57193565,0,-2.09808E-05
06-02-2018 00:35:25.649,4.400028229,0.795161247,2.448909044,0,10.69151115,0,-2.19345E-05
06-02-2018 00:37:25.646,4.400019646,0.756706238,2.47476697,0,10.80528545,0,3.8147E-05
06-02-2018 00:39:25.646,4.400047302,0.719617844,2.499365568,0,10.91351986,0,5.72205E-05
06-02-2018 00:41:25.644,4.399980545,0.683913231,2.522752047,0,11.01641941,0,2.19345E-05
06-02-2018 00:43:25.649,4.399956703,0.64907074,2.544962645,0,11.11414623,0,-0.00011158
06-02-2018 00:45:25.651,4.399952888,0.616109848,2.566053867,0,11.20694733,0,4.29153E-05
06-02-2018 00:47:25.651,4.399999619,0.58713913,2.586099386,0,11.2951479,0,-5.14984E-05
06-02-2018 00:49:25.647,4.400001526,0.556877136,2.605165958,0,11.37904072,0,9.53674E-06
